CRN CTYPE CODE RSEAT STIME ETIME DAY SEM SUBJ 
42753 Tut COMM1050U 0 0810 0900 1 201509 COMM 
42754 Tut COMM1050U 0 1210 1300 6 201509 COMM 
42754 Tut COMM1050U 0 1210 1300 1 201509 COMM 
42755 Tut COMM1050U 0 1310 1400 6 201509 COMM 
42755 Tut COMM1050U 0 1310 1400 1 201509 COMM 
42756 Tut COMM1050U 0 1410 1500 6 201509 COMM 
42756 Tut COMM1050U 0 1410 1500 1 201509 COMM 
42757 Tut COMM1050U 0 1210 1300 6 201509 COMM 
42757 Tut COMM1050U 0 1210 1300 1 201509 COMM 
42758 Tut COMM1050U 0 1310 1400 6 201509 COMM 
42758 Tut COMM1050U 0 1310 1400 1 201509 COMM 
42759 Tut COMM1050U 0 1410 1500 6 201509 COMM 
42759 Tut COMM1050U 0 1410 1500 1 201509 COMM 
42760 Tut COMM1050U 1 1510 1600 2 201509 COMM 
42760 Tut COMM1050U 1 1510 1600 7 201509 COMM 
42761 Tut COMM1050U 0 1610 1700 7 201509 COMM 
42761 Tut COMM1050U 0 1610 1700 2 201509 COMM 
42762 Tut COMM1050U 20 1510 1600 2 201509 COMM 
42762 Tut COMM1050U 20 1510 1600 7 201509 COMM 
42763 Tut COMM1050U 0 1610 1700 7 201509 COMM 
42763 Tut COMM1050U 0 1610 1700 2 201509 COMM 
42764 Tut COMM1050U 15 1510 1600 1 201509 COMM 
42764 Tut COMM1050U 15 1510 1600 6 201509 COMM 
42765 Tut COMM1050U 0 1610 1700 6 201509 COMM 
42765 Tut COMM1050U 0 1610 1700 1 201509 COMM 
42766 Tut COMM1050U 15 1210 1300 3 201509 COMM 
42766 Tut COMM1050U 15 1210 1300 8 201509 COMM 
42767 Tut COMM1050U 17 1310 1400 8 201509 COMM 
42767 Tut COMM1050U 17 1310 1400 3 201509 COMM 
42768 Tut COMM1050U 26 1210 1300 3 201509 COMM 
42768 Tut COMM1050U 26 1210 1300 8 201509 COMM 
42853 Lec COMM1050U 122 1840 2130 7 201509 COMM 
42853 Lec COMM1050U 122 1840 2130 2 201509 COMM 
43976 Tut COMM1050U 28 1310 1400 8 201509 COMM 
43976 Tut COMM1050U 28 1310 1400 3 201509 COMM 
41323 Lec COMM1100U 10 0810 1100 10 201509 COMM 
41323 Lec COMM1100U 10 0810 1100 5 201509 COMM 
41324 Lec COMM1100U 0 1110 1400 3 201509 COMM 
41324 Lec COMM1100U 0 1110 1400 8 201509 COMM 
41666 Lec COMM1310U 21 1210 1300 7 201509 COMM 
41666 Lec COMM1310U 21 1210 1300 2 201509 COMM 
43148 Lec COMM1310U 22 1810 1900 7 201509 COMM 
43148 Lec COMM1310U 22 1810 1900 2 201509 COMM 
41355 Lec COMM1420U -3 1410 1700 8 201509 COMM 
41355 Lec COMM1420U -3 1410 1700 3 201509 COMM 
42374 Lec COMM2110U 17 1110 1400 2 201509 COMM 
42374 Lec COMM2110U 17 1110 1400 7 201509 COMM 
41668 Lec COMM2210U 17 1110 1400 9 201509 COMM 
41668 Lec COMM2210U 17 1110 1400 4 201509 COMM 
43582 Lec COMM2270U 3 1110 1400 1 201509 COMM 
43582 Lec COMM2270U 3 1110 1400 6 201509 COMM 
42897 Lec COMM2530U 13 1110 1400 10 201509 COMM 
42897 Lec COMM2530U 13 1110 1400 5 201509 COMM 
42150 Lec COMM3110U 13 1110 1400 3 201509 COMM 
42150 Lec COMM3110U 13 1110 1400 8 201509 COMM 
42151 Lec COMM3410U 20 1410 1700 1 201509 COMM 
42151 Lec COMM3410U 20 1410 1700 6 201509 COMM 
42153 Lec COMM3710U 1 1110 1400 2 201509 COMM 
42153 Lec COMM3710U 1 1110 1400 7 201509 COMM 
42584 Lec COMM3710U 28 1110 1400 9 201509 COMM 
42584 Lec COMM3710U 28 1110 1400 4 201509 COMM 
43565 Lec COMM3740U 24 1410 1700 2 201509 COMM 
43565 Lec COMM3740U 24 1410 1700 7 201509 COMM 
42587 Lec COMM4120U 0 1410 1700 2 201509 COMM 
42587 Lec COMM4120U 0 1410 1700 7 201509 COMM 
42875 Lec COMM4120U 11 1410 1700 1 201509 COMM 
42875 Lec COMM4120U 11 1410 1700 6 201509 COMM 
42588 Lec COMM4140U 7 1410 1700 9 201509 COMM 
42588 Lec COMM4140U 7 1410 1700 4 201509 COMM 
42589 Lec COMM4510U 10 0810 1100 10 201509 COMM 
42589 Lec COMM4510U 10 0810 1100 5 201509 COMM 
